api,obsCode,station_alias,obsvtrNm,lot,lat,obsrvnDt,crdir,crsp,wndrct,wspd,wtem,slnty
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:35,319.5,6.8,156.0,2.1,27.34,30.42
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:30,318.9,7.7,157.0,2.7,27.32,30.42
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:25,322.0,7.4,159.0,2.8,27.27,30.48
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:20,333.6,7.6,160.0,2.6,27.26,30.46
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:15,344.7,9.0,157.0,2.8,27.24,30.47
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:10,352.0,8.4,156.0,2.7,27.22,30.47
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:05,348.1,9.0,152.0,2.2,27.21,30.44
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 16:00,346.4,9.6,153.0,2.6,27.21,30.42
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:55,339.1,11.6,152.0,2.7,27.24,30.43
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:50,335.1,11.3,154.0,3.2,27.22,30.42
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:45,336.5,10.8,155.0,3.5,27.17,30.38
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:40,343.2,12.2,156.0,3.7,27.14,30.34
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:35,349.2,11.8,156.0,3.7,27.13,30.33
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:30,342.3,13.5,150.0,4.0,27.09,30.34
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:25,334.2,11.8,150.0,4.4,27.07,30.29
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:20,341.9,12.2,152.0,4.7,27.06,30.28
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:15,346.5,10.9,152.0,4.6,27.06,30.28
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:10,344.0,11.9,153.0,4.2,27.05,30.28
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:05,344.2,11.7,157.0,3.8,27.04,30.29
twRecent,TW_0095,고래불해수욕장(영덕),고래불해수욕장,129.45408,36.58,2026-08-22 15:00,338.2,12.6,155.0,3.6,27.03,30.28
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 16:00,189.0,11.8,107.0,3.5,27.05,33.37
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 15:30,190.0,11.4,96.0,3.5,27.02,33.4
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 15:00,168.0,7.4,67.0,3.4,27.02,33.41
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 14:30,159.0,1.7,55.0,2.8,27.01,33.41
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 14:00,338.0,3.3,30.0,1.1,27.0,33.41
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 13:30,3.0,3.6,346.0,2.2,26.98,33.41
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 13:00,324.0,5.8,132.0,1.1,26.96,33.39
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 12:30,266.0,8.5,166.0,2.3,26.97,33.39
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 12:00,263.0,13.7,171.0,1.8,26.93,33.39
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 11:30,288.0,14.5,149.0,2.9,26.92,33.4
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 11:00,289.0,18.9,146.0,3.4,26.9,33.4
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 10:30,302.0,30.3,144.0,3.1,26.88,33.41
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 10:00,300.0,32.8,145.0,2.8,26.84,33.39
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 09:30,308.0,27.6,135.0,2.5,26.7,33.37
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 09:00,293.0,35.4,120.0,2.9,26.74,33.37
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 08:30,265.0,37.1,118.0,3.9,26.67,33.36
twRecent,KG_0101,울릉도북동,울릉도북동,131.55258,38.00736,2026-08-22 08:00,270.0,35.1,131.0,2.9,26.68,33.35
